epoch,train_loss,val_loss,accuracy,train_accuracy,f1,precision,recall,gpu_mem_MB,training_time,model_parameters
1,0.18781863262364676,0.09349173778325402,0.9651081047027694,0.9303908110945133,0.9474530903242679,0.9292376706106117,0.969317073468384,160.8759765625,483.0906617641449,905282
2,0.08637444367819143,0.08078311417870758,0.9687255291013079,0.9707618393960192,0.9529225766630186,0.9343220769017873,0.9752766894954629,160.8759765625,483.0906617641449,905282
3,0.07139462949901745,0.06816060652616666,0.9741763941862149,0.9757494246840809,0.96076122434981,0.9451801936225177,0.9787872037937435,160.8759765625,483.0906617641449,905282
4,0.06452302992932875,0.06182992664370344,0.9766610183662007,0.9782944406314344,0.9643821489655173,0.9503100779739762,0.9803823205635185,160.8759765625,483.0906617641449,905282
5,0.06154558385194318,0.06352249366302236,0.9772203531934486,0.97923664661472,0.9652308390943543,0.9511866322618134,0.9811895324284883,160.8759765625,483.0906617641449,905282
6,0.05827510851609114,0.049908930050029665,0.9813735614791403,0.9804735758407687,0.9712160907690942,0.96196583757556,0.9812313055106121,160.8759765625,483.0906617641449,905282
7,0.055855359872430475,0.05280185651937387,0.9804974665076193,0.981266401550325,0.9700376998286308,0.9584208284827151,0.9829028132289706,160.8759765625,483.0906617641449,905282
8,0.0544466614471133,0.05568564344417694,0.9800900352439819,0.981673664661472,0.9694578158705796,0.9572529592050864,0.9830537700549437,160.8759765625,483.0906617641449,905282
9,0.05333198727331095,0.05773691506903753,0.9787617622226435,0.982054685292099,0.9675148222658609,0.9542192184693041,0.9824961258107476,160.8759765625,483.0906617641449,905282
10,0.052113234588501194,0.052279896778186494,0.9809472894634271,0.9824437805321168,0.9707137461990849,0.9592869987516771,0.9833427116806484,160.8759765625,483.0906617641449,905282
11,0.05126367309896835,0.0535646853099155,0.9800770822269298,0.9827496063627922,0.96945480468499,0.9570308200339335,0.9833245501639192,160.8759765625,483.0906617641449,905282
